"日期","收盘","开盘","高","低","涨跌幅"
"2011年9月1日","0.9760","0.9783","0.9797","0.9734","-0.19%"
"2011年8月31日","0.9779","0.9787","0.9803","0.9723","-0.05%"
"2011年8月30日","0.9784","0.9766","0.9819","0.9756","0.16%"
"2011年8月29日","0.9768","0.9813","0.9834","0.9739","-0.49%"
"2011年8月26日","0.9816","0.9879","0.9925","0.9808","-0.67%"
"2011年8月25日","0.9882","0.9880","0.9891","0.9793","0.08%"
"2011年8月24日","0.9874","0.9878","0.9906","0.9837","-0.08%"
"2011年8月23日","0.9882","0.9901","0.9909","0.9847","-0.17%"
"2011年8月22日","0.9899","0.9914","0.9920","0.9828","-0.01%"
"2011年8月19日","0.9900","0.9909","0.9927","0.9824","-0.02%"
"2011年8月18日","0.9902","0.9807","0.9940","0.9799","1.00%"
"2011年8月17日","0.9804","0.9825","0.9848","0.9773","-0.16%"
"2011年8月16日","0.9820","0.9796","0.9873","0.9796","0.20%"
"2011年8月15日","0.9800","0.9881","0.9909","0.9789","-0.71%"
"2011年8月12日","0.9870","0.9849","0.9919","0.9832","0.22%"
"2011年8月11日","0.9848","0.9946","0.9970","0.9839","-0.95%"
"2011年8月10日","0.9942","0.9774","0.9955","0.9765","1.41%"
"2011年8月9日","0.9804","0.9927","1.0013","0.9769","-1.27%"
"2011年8月8日","0.9930","0.9814","0.9947","0.9782","1.16%"
"2011年8月5日","0.9816","0.9798","0.9854","0.9741","0.08%"
"2011年8月4日","0.9808","0.9616","0.9817","0.9602","1.98%"
"2011年8月3日","0.9618","0.9613","0.9649","0.9566","0.06%"
"2011年8月2日","0.9612","0.9559","0.9620","0.9547","0.47%"
"2011年8月1日","0.9567","0.9557","0.9605","0.9489","0.16%"
"2011年7月29日","0.9552","0.9491","0.9590","0.9485","0.66%"
"2011年7月28日","0.9489","0.9488","0.9524","0.9457","-0.05%"
"2011年7月27日","0.9494","0.9439","0.9509","0.9410","0.59%"
"2011年7月26日","0.9438","0.9470","0.9476","0.9405","-0.36%"
"2011年7月25日","0.9472","0.9483","0.9526","0.9431","-0.11%"
"2011年7月22日","0.9482","0.9438","0.9530","0.9425","0.47%"
"2011年7月21日","0.9438","0.9477","0.9495","0.9422","-0.41%"
"2011年7月20日","0.9477","0.9501","0.9513","0.9455","-0.24%"
"2011年7月19日","0.9500","0.9596","0.9601","0.9479","-0.95%"
"2011年7月18日","0.9591","0.9543","0.9638","0.9537","0.58%"
"2011年7月15日","0.9536","0.9600","0.9626","0.9518","-0.68%"
"2011年7月14日","0.9601","0.9577","0.9618","0.9547","0.15%"
"2011年7月13日","0.9587","0.9653","0.9668","0.9570","-0.68%"
"2011年7月12日","0.9653","0.9688","0.9781","0.9625","-0.32%"
"2011年7月11日","0.9684","0.9623","0.9697","0.9614","0.71%"
"2011年7月8日","0.9616","0.9590","0.9667","0.9570","0.30%"
"2011年7月7日","0.9587","0.9651","0.9667","0.9566","-0.74%"
"2011年7月6日","0.9658","0.9632","0.9696","0.9612","0.31%"
"2011年7月5日","0.9628","0.9606","0.9646","0.9594","0.21%"
"2011年7月4日","0.9608","0.9591","0.9619","0.9578","0.21%"
"2011年7月1日","0.9588","0.9641","0.9653","0.9580","-0.48%"
"2011年6月30日","0.9634","0.9697","0.9701","0.9623","-0.68%"
"2011年6月29日","0.9700","0.9813","0.9827","0.9687","-1.20%"
"2011年6月28日","0.9818","0.9862","0.9888","0.9811","-0.46%"
"2011年6月27日","0.9863","0.9873","0.9914","0.9856","-0.22%"
"2011年6月24日","0.9885","0.9785","0.9888","0.9768","0.99%"
"2011年6月23日","0.9788","0.9740","0.9825","0.9712","0.54%"
"2011年6月22日","0.9735","0.9724","0.9755","0.9699","0.17%"
"2011年6月21日","0.9718","0.9796","0.9806","0.9706","-0.79%"
"2011年6月20日","0.9795","0.9809","0.9851","0.9779","0.01%"
"2011年6月17日","0.9794","0.9818","0.9869","0.9773","-0.25%"
"2011年6月16日","0.9819","0.9791","0.9899","0.9770","0.28%"
"2011年6月15日","0.9792","0.9690","0.9831","0.9670","1.08%"
"2011年6月14日","0.9687","0.9758","0.9772","0.9672","-0.77%"
"2011年6月13日","0.9762","0.9790","0.9799","0.9749","-0.37%"
"2011年6月10日","0.9798","0.9733","0.9801","0.9709","0.65%"
"2011年6月9日","0.9735","0.9795","0.9814","0.9723","-0.65%"
"2011年6月8日","0.9799","0.9748","0.9824","0.9739","0.56%"
"2011年6月7日","0.9744","0.9805","0.9811","0.9730","-0.63%"
"2011年6月6日","0.9806","0.9780","0.9819","0.9768","0.27%"
"2011年6月3日","0.9780","0.9756","0.9852","0.9743","0.26%"
"2011年6月2日","0.9755","0.9775","0.9810","0.9742","-0.20%"
"2011年6月1日","0.9775","0.9690","0.9785","0.9667","0.93%"
"2011年5月31日","0.9685","0.9771","0.9772","0.9655","-0.87%"
"2011年5月30日","0.9770","0.9777","0.9788","0.9748","0.12%"
"2011年5月27日","0.9758","0.9784","0.9798","0.9751","-0.25%"
"2011年5月26日","0.9782","0.9775","0.9816","0.9754","0.03%"
"2011年5月25日","0.9779","0.9762","0.9817","0.9740","0.14%"
"2011年5月24日","0.9765","0.9776","0.9793","0.9752","-0.08%"
"2011年5月23日","0.9773","0.9735","0.9812","0.9735","0.34%"
"2011年5月20日","0.9740","0.9677","0.9772","0.9639","0.66%"
"2011年5月19日","0.9676","0.9704","0.9717","0.9655","-0.30%"
"2011年5月18日","0.9705","0.9720","0.9760","0.9694","-0.19%"
"2011年5月17日","0.9723","0.9746","0.9792","0.9714","-0.30%"
"2011年5月16日","0.9752","0.9689","0.9770","0.9680","0.71%"
"2011年5月13日","0.9683","0.9631","0.9747","0.9605","0.61%"
